system_call,frequency_M,file_frequency_M,frequency_B,file_frequency_B
sendtoshutdown,323.0,117.0,432.0,145.0
epoll_ctlmprotect,6996.0,2862.0,13681.0,5528.0
connectclose,120355.0,1906.0,220958.0,3842.0
openshutdown,30.0,28.0,48.0,42.0
bindrecvfrom,268.0,216.0,610.0,427.0
sigaltstackgetsockname,39.0,39.0,75.0,70.0
pollshutdown,421.0,86.0,576.0,112.0
gettimeofdaygetpid,194818.0,3005.0,430373.0,6073.0
sched_setschedulermprotect,6004.0,2433.0,12257.0,4767.0
umaskmadvise,1385.0,338.0,2932.0,703.0
getpidfutex,127523.0,3562.0,257682.0,6963.0
closerecvfrom,22597.0,2153.0,44570.0,4233.0
futexgetpid,326479.0,4079.0,620060.0,7976.0
ioctlgetpid,1575582.0,4206.0,2978565.0,8178.0
futexsched_yield,12344.0,2256.0,22610.0,4410.0
gettimeofdaypoll,23789.0,1998.0,58659.0,3909.0
getsocknamefutex,5446.0,1399.0,11786.0,2731.0
brkgettimeofday,132238.0,2895.0,260885.0,5829.0
futexread,1317755.0,3584.0,2149872.0,7025.0
getsocknameclose,341.0,243.0,768.0,463.0
sin6_port=htonsshutdown,39.0,34.0,64.0,47.0
getsockoptsendto,4461.0,310.0,881.0,588.0
epoll_waitclose,19555.0,2342.0,39694.0,4676.0
fsyncioctl,463.0,294.0,960.0,565.0
writevrecvfrom,235961.0,3446.0,461717.0,6700.0
closefutex,96464.0,3514.0,195655.0,6865.0
openread,2022655.0,3994.0,3860843.0,7857.0
recvfromsigprocmask,12134.0,2642.0,21732.0,5020.0
readrecvfrom,1036961.0,3878.0,2020031.0,7507.0
madvisesendto,18051.0,1498.0,32080.0,2837.0
brkmadvise,70080.0,3929.0,134372.0,7640.0
getpidbind,256.0,202.0,556.0,329.0
pollgetsockname,322.0,127.0,491.0,235.0
sin6_port=htonsbind,69.0,64.0,160.0,119.0
connectmadvise,889.0,517.0,1615.0,902.0
socketgetsockname,261.0,182.0,576.0,362.0
set_thread_areafutex,8533.0,2515.0,17271.0,4941.0
accesswritev,21704.0,1827.0,18966.0,3695.0
writemunmap,15196.0,2028.0,21702.0,4176.0
sendtosigprocmask,2054.0,1130.0,3550.0,2018.0
opengettimeofday,95782.0,2532.0,173165.0,5092.0
ioctlunlink,575.0,363.0,1412.0,761.0
setsockoptclock_gettime,58030.0,2404.0,113227.0,4794.0
mprotectgettimeofday,154391.0,3715.0,346909.0,7313.0
closemprotect,52090.0,3851.0,101861.0,7544.0
writevclock_gettime,521984.0,4038.0,1466182.0,7907.0
getpidioctl,117091.0,3768.0,231511.0,7359.0
madviseprctl,641020.0,2896.0,1236588.0,5832.0
opengetsockname,592.0,376.0,1288.0,725.0
ioctlfdatasync,2746.0,524.0,6133.0,1088.0
munmapclock_gettime,231943.0,4019.0,474325.0,7854.0
recvfromwrite,137902.0,1990.0,321926.0,3957.0
sendtofutex,19569.0,3324.0,35953.0,6418.0
futexchmod,1916.0,771.0,3250.0,1525.0
madvisewritev,21131.0,2793.0,43619.0,5466.0
writevioctl,174803.0,3989.0,323263.0,7803.0
umaskwrite,1537.0,281.0,4335.0,630.0
gettimeofdayclock_gettime,18885907.0,3698.0,36230379.0,7205.0
shutdownsin6_port=htons,28.0,23.0,53.0,40.0
sigaltstackioctl,1436.0,863.0,3448.0,1827.0
munmapclose,509972.0,3891.0,1120907.0,7562.0
clock_gettimeioctl,4285593.0,4157.0,8707027.0,8122.0
madvisemadvise,1255208.0,4183.0,2566433.0,8162.0
gettimeofdayread,177325.0,2606.0,370857.0,5285.0
writeclock_gettime,12998107.0,3983.0,23939483.0,7787.0
shutdowngetsockopt,14049.0,424.0,22474.0,736.0
getsocknameconnect,22994.0,1967.0,39863.0,3784.0
writevmadvise,50045.0,3528.0,156603.0,6880.0
polldup,148.0,127.0,287.0,209.0
mprotectaccess,24765.0,2994.0,50644.0,5935.0
closeaccess,371099.0,2811.0,757244.0,5756.0
shutdownfutex,496.0,181.0,1096.0,286.0
sigprocmasksin6_port=htons,488.0,376.0,830.0,616.0
pollsched_setscheduler,618.0,453.0,1244.0,787.0
gettidwritev,3939.0,759.0,11964.0,1459.0
ioctlgetpriority,12272.0,3235.0,24410.0,6232.0
munmapbrk,10285.0,2437.0,16605.0,4774.0
ioctlrecvfrom,517444.0,3782.0,1059812.0,7327.0
bindsocket,167.0,132.0,408.0,273.0
ioctlgettid,17894.0,2333.0,35178.0,4719.0
umaskepoll_wait,3236.0,361.0,7496.0,740.0
epoll_waitmprotect,48570.0,3530.0,94362.0,6906.0
futexsetsockopt,36618.0,2228.0,71477.0,4450.0
shutdownwrite,97.0,44.0,157.0,76.0
setsockoptshutdown,69.0,38.0,167.0,81.0
ioctldup,379759.0,3997.0,730891.0,7766.0
_exit_exit,280.0,191.0,651.0,393.0
writevclose,5646.0,2044.0,15847.0,4139.0
munmapgettid,16202.0,809.0,16913.0,1494.0
connectmunmap,455.0,331.0,834.0,600.0
umaskgetsockname,168.0,119.0,310.0,229.0
epoll_waitrecvfrom,3033477.0,3962.0,5781614.0,7710.0
futexclock_gettime,26607332.0,4147.0,50105522.0,8103.0
brkfutex,77505.0,4181.0,157834.0,8162.0
openumask,397248.0,1768.0,768276.0,3577.0
gettimeofdaymadvise,187287.0,3123.0,355614.0,6240.0
closesigprocmask,36815.0,3621.0,67049.0,7032.0
openfutex,43695.0,2681.0,83853.0,5291.0
writevgettid,7474.0,1381.0,17609.0,2686.0
sendtobind,115.0,99.0,185.0,164.0
setsockoptmadvise,23412.0,1561.0,41895.0,3030.0
recvfromsetsockopt,2765.0,897.0,5744.0,1688.0
clonefutex,135167.0,3876.0,320606.0,7570.0
restart_syscallfutex,3140.0,2583.0,37374.0,4975.0
unlinkumask,2237.0,1459.0,4671.0,2902.0
writevaccess,22650.0,2224.0,32717.0,4511.0
epoll_waitwrite,117630.0,2574.0,213849.0,5181.0
gettimeofdaymprotect,148804.0,3961.0,340283.0,7707.0
umaskwritev,737.0,217.0,1988.0,477.0
getpidgetpriority,6845.0,2709.0,12692.0,5039.0
ioctlgetsockopt,46945.0,2381.0,81338.0,4670.0
ioctlmunmap,2156610.0,3900.0,4634332.0,7601.0
gettidmadvise,6610.0,2194.0,11854.0,4385.0
writevfdatasync,307.0,142.0,1032.0,267.0
writeopen,9455.0,2214.0,20506.0,4367.0
mprotectsin6_port=htons,1106.0,657.0,2275.0,1220.0
bindgetsockname,46575.0,2745.0,83135.0,5339.0
set_thread_areaioctl,278.0,226.0,626.0,468.0
epoll_waitfutex,432881.0,3600.0,811517.0,7057.0
madvisemunmap,200274.0,3953.0,461334.0,7728.0
gettimeofdaysetsockopt,4779.0,979.0,8393.0,1861.0
mprotectsched_setscheduler,7211.0,2805.0,14182.0,5448.0
ioctlclose,71297.0,3840.0,137122.0,7409.0
unlinkwritev,2711.0,638.0,4761.0,1254.0
recvmsgrt_sigtimedwait,4291.0,4248.0,8410.0,8294.0
closechmod,42116.0,2824.0,78886.0,5771.0
futexgettid,153454.0,3404.0,309204.0,6757.0
madviseioctl,75831.0,2957.0,153681.0,5764.0
shutdownwritev,24.0,19.0,190.0,45.0
shutdownmprotect,536.0,155.0,807.0,231.0
writegetpid,52305.0,3509.0,95584.0,6720.0
clock_gettimegettimeofday,18734884.0,4080.0,35931732.0,7913.0
read_llseek,504807.0,1651.0,539876.0,3391.0
recvfromclock_gettime,12200108.0,3987.0,23299355.0,7768.0
futexpoll,1660.0,698.0,5701.0,1420.0
readaccess,49083.0,2150.0,98086.0,4397.0
futexsendto,49051.0,3712.0,91233.0,7189.0
mprotectepoll_ctl,3748.0,2071.0,7314.0,4058.0
futexgettimeofday,3002031.0,3558.0,5852863.0,7007.0
clock_gettimegetsockopt,63266.0,2575.0,121328.0,5148.0
mprotectsigprocmask,525828.0,4037.0,1083449.0,7869.0
madviseset_thread_area,665.0,504.0,1785.0,969.0
ioctlset_thread_area,2979.0,1464.0,7333.0,2865.0
sigaltstackprctl,122356.0,3793.0,296260.0,7408.0
gettimeofdaygettid,265465.0,2633.0,499567.0,5316.0
gettimeofdayconnect,25282.0,2330.0,46604.0,4505.0
writewritev,13844.0,2645.0,85747.0,5260.0
closeioctl,86834.0,3816.0,177491.0,7392.0
pollwritev,307.0,202.0,670.0,384.0
getsocknamegettimeofday,21855.0,2066.0,39844.0,3949.0
readclock_gettime,8467689.0,4079.0,15602831.0,7941.0
fdatasyncioctl,2589.0,674.0,5638.0,1343.0
closesched_setscheduler,15094.0,3642.0,31267.0,7078.0
mprotectrename,762.0,487.0,1821.0,1052.0
clock_gettimebrk,120830.0,3919.0,219419.0,7693.0
ioctlgettimeofday,487050.0,3590.0,1217870.0,7059.0
sigprocmaskwrite,22795.0,1627.0,35542.0,3151.0
accessaccess,186071.0,4022.0,347704.0,7863.0
connectmprotect,3245.0,1419.0,6298.0,2762.0
ioctlfutex,346096.0,4195.0,653923.0,8183.0
connectsched_setscheduler,676.0,355.0,1225.0,687.0
sendtoclock_gettime,5447554.0,3776.0,10333610.0,7303.0
futexmadvise,259594.0,4124.0,540667.0,8041.0
mprotectrecvfrom,75753.0,3748.0,150027.0,7233.0
fdatasyncgetsockname,96.0,78.0,238.0,208.0
gettimeofdaysigprocmask,43989.0,2684.0,92757.0,5346.0
openmprotect,43851.0,3327.0,85216.0,6625.0
closesocket,42201.0,2132.0,70923.0,4222.0
epoll_waitgetsockopt,4003.0,1241.0,7945.0,2341.0
mprotectwritev,128855.0,3985.0,263532.0,7765.0
recvfromsched_setscheduler,7642.0,2626.0,13821.0,4974.0
mprotectfutex,1784511.0,4153.0,3650372.0,8112.0
ioctlumask,6237.0,630.0,12658.0,1333.0
socketgetpid,650.0,439.0,1430.0,866.0
writevsetsockopt,363.0,230.0,1377.0,458.0
sin6_port=htonsfutex,3488.0,1116.0,8174.0,2067.0
epoll_ctlsendto,188322.0,3664.0,366753.0,7056.0
sched_setschedulergetpid,10084.0,3263.0,19118.0,6210.0
_exitclock_gettime,24117.0,2758.0,54861.0,5437.0
mprotectioctl,168093.0,4128.0,328996.0,8059.0
clock_gettimesendto,5263797.0,3770.0,9965286.0,7310.0
brkioctl,14967.0,3338.0,26634.0,6426.0
clonesched_setscheduler,2599.0,2497.0,4978.0,4754.0
readclose,2112924.0,3476.0,4019499.0,6862.0
clock_gettimeclock_gettime,224404869.0,4182.0,426675379.0,8171.0
brkmprotect,130548.0,4174.0,264335.0,8115.0
futexmprotect,726661.0,4119.0,1548530.0,8027.0
futexmunmap,141515.0,3968.0,273272.0,7727.0
pollgetsockopt,4909.0,965.0,8230.0,1905.0
writemadvise,13144.0,1790.0,21219.0,3415.0
clock_gettimeumask,25137.0,727.0,52989.0,1457.0
recvfromopen,6538.0,1326.0,13298.0,2716.0
sendtoclose,2457.0,869.0,5133.0,1680.0
getsockoptrecvfrom,1522.0,730.0,3303.0,1368.0
ioctlsigprocmask,69055.0,3685.0,133512.0,7144.0
munmapopen,38432.0,3887.0,71464.0,7593.0
getsocknamesetsockopt,42654.0,2603.0,74394.0,5098.0
munmapfutex,73963.0,3660.0,148525.0,7186.0
connectpoll,78.0,67.0,179.0,145.0
socketsigprocmask,1312.0,740.0,2648.0,1455.0
shutdowndup,7.0,7.0,12.0,11.0
pollopen,236.0,193.0,501.0,394.0
getprioritymunmap,554.0,412.0,1179.0,843.0
futexwrite,219588.0,3461.0,438996.0,6734.0
recvfromfutex,84201.0,3783.0,158682.0,7290.0
sin6_port=htonsgettimeofday,1342.0,647.0,3434.0,1240.0
munmapsigprocmask,263561.0,4097.0,553829.0,7982.0
sigprocmaskmunmap,176947.0,4070.0,372406.0,7911.0
openioctl,382928.0,4125.0,893952.0,8045.0
getpriorityfutex,16316.0,3375.0,36187.0,6551.0
writeread,461271.0,3424.0,952587.0,6764.0
writevgettimeofday,69492.0,2543.0,350177.0,5112.0
sched_setschedulerread,16097.0,3302.0,29647.0,6424.0
writevsendto,84975.0,3784.0,165486.0,7370.0
sigprocmasksocket,2301.0,908.0,4067.0,1628.0
chmodfutex,3408.0,1306.0,5968.0,2608.0
_llseekread,598342.0,1696.0,758040.0,3528.0
openpoll,2234.0,2000.0,4592.0,4058.0
accessmkdir,22892.0,2751.0,24340.0,5434.0
fdatasyncsched_setscheduler,425.0,302.0,945.0,659.0
sigprocmaskgetsockname,859.0,558.0,1694.0,1090.0
nanosleepmprotect,2786.0,1356.0,5947.0,2745.0
dupshutdown,8.0,8.0,20.0,18.0
ioctlrestart_syscall,2652.0,2373.0,4961.0,4537.0
accessrecvfrom,4571.0,589.0,9343.0,1253.0
munmapmunmap,263256.0,3956.0,591539.0,7719.0
prctlgettid,122337.0,3799.0,296474.0,7415.0
recvfrombrk,20668.0,3362.0,39536.0,6442.0
sendtogetsockname,710.0,374.0,1284.0,625.0
epoll_waitsched_setscheduler,49677.0,3872.0,89373.0,7463.0
writevmunmap,16406.0,3017.0,40055.0,5793.0
sigaltstackmunmap,104020.0,3637.0,254539.0,7116.0
fdatasyncopen,74232.0,2776.0,155973.0,5660.0
writevmprotect,106234.0,4070.0,216718.0,7946.0
closeepoll_ctl,206411.0,3978.0,408872.0,7721.0
setsockoptgetsockopt,3525.0,673.0,7364.0,1359.0
accessopen,139975.0,3334.0,308007.0,6680.0
readshutdown,93.0,61.0,170.0,105.0
pollgettimeofday,2027.0,780.0,14317.0,1428.0
socketfutex,6830.0,1643.0,14036.0,3117.0
openclose,64840.0,3054.0,150539.0,6096.0
sendtogetsockopt,8302.0,497.0,2478.0,941.0
umaskbrk,2053.0,960.0,4661.0,1950.0
writerecvfrom,137070.0,3617.0,269355.0,6958.0
writeioctl,934738.0,3979.0,1925109.0,7802.0
futexset_thread_area,159110.0,3800.0,361938.0,7418.0
munmapmprotect,97968.0,4113.0,205936.0,8007.0
sigprocmaskclock_gettime,172017.0,4029.0,317611.0,7845.0
madviseread,103299.0,2679.0,142465.0,5222.0
brk_llseek,2500.0,1022.0,5293.0,2136.0
closegetsockname,727.0,416.0,1644.0,832.0
mprotectbrk,136785.0,4248.0,276491.0,8286.0
closemunmap,132978.0,3947.0,268552.0,7691.0
gettimeofdayrecvfrom,820272.0,2426.0,1536569.0,4909.0
recvfrommprotect,55424.0,3826.0,112271.0,7380.0
umaskioctl,5882.0,564.0,11976.0,1223.0
gettidgetpid,49767.0,3521.0,97950.0,6937.0
mprotectsendto,38072.0,3747.0,72122.0,7220.0
gettimeofdayepoll_wait,213859.0,2368.0,444726.0,4861.0
fsyncclose,35031.0,2757.0,72680.0,5657.0
openmkdir,5265.0,1896.0,10855.0,3828.0
umaskshutdown,9.0,9.0,16.0,13.0
futexbrk,51422.0,3732.0,106591.0,7355.0
shutdownclose,70.0,56.0,231.0,111.0
epoll_waitshutdown,1750.0,185.0,2355.0,284.0
epoll_waitgetsockname,3878.0,1007.0,7194.0,1877.0
getsocknameshutdown,42.0,28.0,101.0,63.0
madvisegetsockopt,9062.0,1517.0,19262.0,3092.0
dupwritev,3897.0,3784.0,7625.0,7319.0
ioctlsendto,155261.0,3753.0,302324.0,7231.0
writefutex,192258.0,3736.0,378940.0,7349.0
writewrite,3680302.0,2680.0,5783740.0,5438.0
chmodfdatasync,75.0,66.0,104.0,89.0
sigprocmaskgetpid,4932.0,2084.0,10458.0,4141.0
mprotectclone,187034.0,3960.0,421316.0,7723.0
clock_gettimegetpriority,13677.0,3502.0,26895.0,6751.0
futexbind,2597.0,1060.0,5591.0,1984.0
madvisesigaltstack,187959.0,3807.0,425538.0,7433.0
connectgetsockname,5412.0,909.0,7766.0,1655.0
writevconnect,178.0,142.0,792.0,254.0
mprotectgetsockname,2639.0,1083.0,5472.0,2084.0
clock_gettimeshutdown,1248.0,198.0,2265.0,293.0
pollsigprocmask,827.0,570.0,2004.0,1132.0
ioctlprctl,535.0,413.0,1166.0,833.0
epoll_ctlgetpid,9413.0,2610.0,19224.0,5222.0
accessgetsockname,317.0,207.0,656.0,399.0
ioctlsocket,2127.0,883.0,4524.0,1698.0
recvfromprctl,315.0,259.0,619.0,485.0
clock_gettimeopen,197818.0,3197.0,392842.0,6387.0
sin6_port=htonssetsockopt,10767.0,1608.0,20238.0,3066.0
closegettimeofday,276707.0,3208.0,645589.0,6428.0
sigaltstackclock_gettime,5554.0,1778.0,11399.0,3475.0
readmadvise,108456.0,3934.0,185607.0,7693.0
mprotectmprotect,4209837.0,4189.0,8782096.0,8156.0
writeclose,83498.0,2802.0,147844.0,5586.0
clock_gettimerecvfrom,9097827.0,4010.0,17414582.0,7783.0
shutdownrecvfrom,235.0,114.0,315.0,135.0
getprioritygetpriority,8733.0,3114.0,16186.0,5918.0
getsocknameclock_gettime,40319.0,2114.0,71142.0,4185.0
readread,12709351.0,3357.0,11192673.0,6612.0
recvfromioctl,2643452.0,4002.0,5082229.0,7765.0
getpidgettimeofday,191752.0,2800.0,395219.0,5563.0
gettimeofdayclose,56458.0,2382.0,91623.0,4737.0
writeshutdown,124.0,70.0,203.0,115.0
futexsched_setscheduler,67167.0,4155.0,131806.0,8059.0
futexsin6_port=htons,2633.0,940.0,6288.0,1816.0
shutdownioctl,99.0,56.0,216.0,97.0
shutdownsetsockopt,48.0,32.0,91.0,55.0
pollfutex,4401.0,1222.0,10063.0,2370.0
mprotectdup,5776.0,3823.0,11332.0,7382.0
sigprocmaskfutex,81747.0,3810.0,167140.0,7404.0
madviseopen,12416.0,1904.0,26457.0,3912.0
futexepoll_wait,264482.0,3761.0,522263.0,7335.0
unlinkgetpid,1702.0,586.0,4775.0,1170.0
getprioritygetpid,31914.0,3787.0,59166.0,7313.0
writevopen,14128.0,1127.0,28429.0,2179.0
dupgetpid,119969.0,3829.0,230519.0,7415.0
getsocknamesigprocmask,498.0,383.0,848.0,634.0
closefdatasync,57539.0,1707.0,125601.0,3445.0
fdatasyncshutdown,20.0,15.0,20.0,16.0
madvisewrite,51205.0,3088.0,94597.0,6265.0
shutdownclock_gettime,555.0,170.0,865.0,250.0
nanosleepclock_gettime,13230.0,2530.0,28614.0,4943.0
sigprocmaskgettimeofday,28943.0,2514.0,58228.0,5008.0
clock_gettimebind,5651.0,1376.0,14631.0,2616.0
recvfromepoll_wait,9733.0,1709.0,16783.0,3362.0
madviseclose,107620.0,4259.0,220798.0,8282.0
umaskgetpid,1968.0,355.0,4321.0,690.0
socketsendto,275.0,228.0,531.0,414.0
closemadvise,18951.0,2422.0,42735.0,4855.0
pollmadvise,579.0,347.0,1228.0,701.0
writevwritev,1707907.0,3518.0,5479897.0,6895.0
clock_gettimemadvise,322194.0,4102.0,659000.0,7995.0
rt_sigtimedwaitrestart_syscall,2944.0,2921.0,5630.0,5585.0
open_llseek,23549.0,1555.0,50971.0,3214.0
connectgetpid,1201.0,501.0,2423.0,949.0
nanosleepioctl,8971.0,1070.0,6197.0,2115.0
fdatasyncfutex,6913.0,1518.0,15211.0,3055.0
connectgetsockopt,509.0,224.0,979.0,420.0
getsockoptmadvise,1300.0,539.0,2823.0,1089.0
dupclock_gettime,10953.0,3505.0,21892.0,6867.0
umaskclose,335870.0,1760.0,634644.0,3565.0
sigprocmaskmprotect,1534080.0,4098.0,3092244.0,7979.0
readfutex,5895379.0,3461.0,10525962.0,6825.0
socketbind,46902.0,3013.0,83598.0,5927.0
munmapsigaltstack,76698.0,3435.0,197561.0,6775.0
getsockoptgetsockname,21512.0,1876.0,38993.0,3693.0
clock_gettimenanosleep,80212.0,4088.0,164362.0,8004.0
clock_gettimeclose,192248.0,3807.0,396898.0,7454.0
madviseclock_gettime,122906.0,3753.0,248950.0,7305.0
chmodaccess,6186.0,1094.0,3163.0,2012.0
connectfutex,6521.0,1622.0,13400.0,3123.0
ioctlmadvise,154825.0,4188.0,330126.0,8172.0
chmodgettimeofday,25552.0,1822.0,42173.0,3568.0
closesendto,2302.0,747.0,4735.0,1423.0
_exitgettimeofday,7370.0,1833.0,13216.0,3538.0
gettimeofdaybrk,158256.0,3604.0,311419.0,7097.0
futexgetsockopt,23487.0,2482.0,51304.0,4711.0
sigprocmaskrecvfrom,9919.0,2777.0,18523.0,5260.0
setsockoptgettimeofday,18201.0,1602.0,35825.0,3313.0
recvfromclose,34096.0,2616.0,64554.0,5083.0
connectioctl,2150.0,956.0,4084.0,1753.0
mprotectset_thread_area,2163.0,1330.0,4666.0,2858.0
futex_exit,14412.0,1752.0,28780.0,3584.0
bindfutex,1749.0,801.0,3664.0,1507.0
futexfdatasync,6416.0,957.0,14328.0,1956.0
sin6_port=htonsioctl,719.0,450.0,1623.0,950.0
mprotectclock_gettime,542775.0,4192.0,1085485.0,8174.0
getpidbrk,4473.0,1931.0,8871.0,3851.0
futexconnect,4222.0,1471.0,8652.0,2863.0
futexopen,94724.0,3817.0,192744.0,7483.0
mprotectread,54836.0,3012.0,106029.0,5946.0
connectgettimeofday,25142.0,2356.0,46633.0,4577.0
mprotectsocket,6198.0,2183.0,12282.0,4343.0
writevshutdown,76.0,49.0,699.0,72.0
sched_setschedulerclock_gettime,42418.0,3897.0,79985.0,7569.0
futexaccess,85678.0,3517.0,162530.0,6942.0
socketrecvfrom,887.0,544.0,1865.0,1025.0
readioctl,94346.0,3734.0,275143.0,7299.0
ioctlaccess,40956.0,3922.0,74698.0,7693.0
getsockoptfutex,11308.0,1831.0,26359.0,3560.0
openclock_gettime,85699.0,2790.0,184207.0,5630.0
getpidopen,33209.0,3120.0,68828.0,6218.0
gettimeofdayfutex,4831134.0,3384.0,9325857.0,6719.0
munmapwritev,8737.0,1850.0,21644.0,3740.0
brkgetpid,4958.0,2052.0,9719.0,4039.0
clock_gettimemprotect,731376.0,4145.0,1449298.0,8122.0
readgetsockname,1498.0,595.0,3006.0,1130.0
closeclock_gettime,959640.0,4010.0,1811386.0,7863.0
futexwritev,168748.0,4055.0,557779.0,7918.0
chmodmprotect,2852.0,1455.0,6917.0,2908.0
socketmprotect,3776.0,1268.0,7061.0,2378.0
ioctlwritev,148127.0,3697.0,255606.0,7283.0
getprioritydup,5313.0,3142.0,10187.0,6041.0
getpidmadvise,6937.0,2219.0,14596.0,4325.0
getpriorityclock_gettime,366421.0,4280.0,635050.0,8318.0
ioctlsched_setscheduler,367590.0,4273.0,642230.0,8317.0
writevgetpid,44545.0,3319.0,120736.0,6553.0
sendtosendto,12119.0,943.0,34031.0,1712.0
umaskopen,399282.0,1772.0,771643.0,3576.0
umasksigprocmask,2188.0,388.0,4428.0,831.0
recvfrommadvise,18445.0,2411.0,39246.0,4712.0
connectwritev,435.0,260.0,2492.0,508.0
writesigaltstack,459.0,315.0,1022.0,643.0
nanosleepfutex,81638.0,4091.0,164662.0,8002.0
closesin6_port=htons,322.0,223.0,727.0,426.0
nanosleepmadvise,3934.0,1287.0,6539.0,2578.0
recvfromsendto,966076.0,3759.0,1844146.0,7232.0
munmaprecvfrom,2504.0,839.0,5382.0,1685.0
closeread,19546.0,1743.0,39476.0,3285.0
epoll_waitgettimeofday,2551605.0,2830.0,4829419.0,5710.0
_exitioctl,9053.0,2016.0,18646.0,3997.0
accessfutex,55278.0,3141.0,105637.0,6263.0
clock_gettimefutex,20221552.0,4171.0,38194268.0,8146.0
writevgetsockname,293.0,212.0,2499.0,388.0
sched_setschedulerdup,6092.0,2573.0,11984.0,4964.0
setsockoptconnect,66850.0,2999.0,120371.0,5830.0
connectshutdown,1351.0,98.0,2685.0,140.0
ioctlioctl,8437383.0,4289.0,18211746.0,8368.0
clock_gettimesched_setscheduler,400081.0,4280.0,705264.0,8328.0
clock_gettimewritev,924121.0,4133.0,2261381.0,8060.0
futexfutex,65486029.0,4289.0,131701174.0,8369.0
getpidclock_gettime,492690.0,3976.0,905374.0,7746.0
futexgetsockname,8654.0,1721.0,17773.0,3289.0
mprotectgetpid,44312.0,3718.0,92056.0,7310.0
epoll_waitclock_gettime,36147681.0,4145.0,67333885.0,8075.0
getpidgetpid,46798.0,3048.0,108565.0,6118.0
getprioritymprotect,7651.0,2972.0,13896.0,5964.0
recvfrom_exit,226.0,173.0,531.0,364.0
gettimeofdayioctl,222243.0,3444.0,467996.0,6776.0
connectopen,373.0,277.0,803.0,538.0
pollepoll_wait,710.0,426.0,1770.0,836.0
accessumask,374052.0,1765.0,719430.0,3568.0
shutdownshutdown,14909.0,423.0,23985.0,729.0
writemprotect,60850.0,3551.0,126845.0,7052.0
unlinkgettimeofday,6272.0,1880.0,12062.0,3813.0
