system_call,frequency,file_frequency
epoll_waitsigprocmask,48964,4911
munmapopen,71464,7593
sendtomunmap,1559,721
writevmprotect,216718,7946
sendtofutex,35953,6418
readgetpriority,5168,3245
sched_setschedulerfutex,35660,6342
gettimeofdayfutex,9325857,6719
clock_gettimeioctl,8707027,8122
accessgettimeofday,566222,5571
setsockoptopen,33705,3989
gettimeofdayconnect,46604,4505
recvfromepoll_ctl,227750,7005
writeumask,3725,555
sigprocmaskfutex,167140,7404
ioctlsendto,302324,7231
madvisemunmap,461334,7728
ioctlepoll_wait,759023,7813
sigaltstackrecvfrom,684,449
getpriorityepoll_wait,5179,3230
connectwrite,57919,5585
writemprotect,126845,7052
madviseclock_gettime,248950,7305
sendtosched_setscheduler,8021,3562
closesched_setscheduler,31267,7078
ioctlepoll_ctl,106093,5899
getpriorityioctl,33712,5528
futexaccess,162530,6942
epoll_waitfutex,811517,7057
gettimeofdaymunmap,574448,6813
closegettimeofday,645589,6428
readsched_setscheduler,11612,4556
ioctlsigaltstack,58635,5279
mprotectread,106029,5946
munmapfutex,148525,7186
recvfromfutex,158682,7290
ioctlwritev,255606,7283
recvfrommunmap,6814,2136
epoll_ctlioctl,149079,7711
futexmunmap,273272,7727
pollclose,1476,867
clock_gettime_exit,7846,2325
set_thread_areafutex,17271,4941
getpidrecvfrom,9310,3840
mprotectmadvise,556011,8068
_exitioctl,18646,3997
sched_yieldsched_setscheduler,929,853
_exitgetpriority,300,226
epoll_waitioctl,187874,6777
setsockoptconnect,120371,5830
brksendto,15697,5107
getsocknamesetsockopt,74394,5098
epoll_ctlgetpid,19224,5222
sigprocmaskclock_gettime,317611,7845
_exitepoll_wait,3682,1706
_exitgetpid,32083,2576
writevmadvise,156603,6880
sigprocmaskmprotect,3092244,7979
accessfutex,105637,6263
epoll_waitwrite,213849,5181
dupwritev,7625,7319
sigaltstackprctl,296260,7408
getprioritygetpriority,16186,5918
clock_gettimemunmap,579543,7766
futexset_thread_area,361938,7418
_exitfutex,74329,5610
sigprocmaskbrk,113787,7504
mprotectrecvfrom,150027,7233
mprotectclone,421316,7723
recvfromsigaltstack,707,477
readioctl,275143,7299
sendtorecvfrom,2520139,7571
readmprotect,127869,5718
dupmprotect,4179,2580
ioctlaccess,74698,7693
sigprocmaskmadvise,278435,7474
brksigprocmask,89720,7184
futexopen,192744,7483
socketbind,83598,5927
futexnanosleep,23249,3883
madvisewritev,43619,5466
nanosleepclock_gettime,28614,4943
recvfromsigprocmask,21732,5020
futexclock_gettime,50105522,8103
sigaltstackmunmap,254539,7116
getsockoptclose,159680,5505
gettidgetpid,97950,6937
writevgetpid,120736,6553
mprotectfutex,3650372,8112
gettimeofdaysendto,130558,4866
epoll_ctlclock_gettime,241811,5542
epoll_ctlsendto,366753,7056
brkmprotect,264335,8115
gettimeofdaymadvise,355614,6240
madvisemadvise,2566433,8162
futexwritev,557779,7918
getpidsched_setscheduler,19037,5954
dupclose,500180,7736
closewrite,247593,6467
sched_setschedulerdup,11984,4964
recvfromrecvfrom,8819952,7737
recvfromgetpid,7352,2630
ioctlmunmap,4634332,7601
sched_setschedulersigprocmask,4946,2824
futexwrite,438996,6734
restart_syscallread,251,232
sigaltstackclock_gettime,11399,3475
writevfutex,586176,7970
brkmunmap,51679,7238
futexsched_yield,22610,4410
pollgetsockopt,8230,1905
openmprotect,85216,6625
futexsigprocmask,2038988,7864
madviseread,142465,5222
restart_syscallrestart_syscall,1727,458
futexgetsockopt,51304,4711
writeclock_gettime,23939483,7787
closeaccess,757244,5756
_exitsched_setscheduler,4578,2291
getprioritygetpid,59166,7313
ioctlgetsockopt,81338,4670
sigprocmaskwritev,13400,2829
epoll_waitsched_setscheduler,89373,7463
mprotectclose,52009,5979
accessmprotect,47375,7868
munmapioctl,4684326,7690
getprioritymprotect,13896,5964
madvisefutex,858338,8022
writemunmap,21702,4176
accessaccess,347704,7863
epoll_waitgettid,53708,4306
mprotectepoll_wait,43256,5943
sched_setschedulersched_setscheduler,185830,7364
clock_gettimenanosleep,164362,8004
mprotectmunmap,91261,7441
recvfrommprotect,112271,7380
opengettimeofday,173165,5092
clock_gettimegetsockopt,121328,5148
readlseek,534042,5120
mprotectclock_gettime,1085485,8174
futexgettimeofday,5852863,7007
getpidepoll_wait,35733191,8018
writevioctl,323263,7803
sendtoclock_gettime,10333610,7303
munmap_exit,229195,7081
gettimeofdaymprotect,340283,7707
_exitclock_gettime,54861,5437
recvfromwritev,83080,7187
munmapsched_setscheduler,10982,3081
nanosleepfutex,164662,8002
sigprocmaskopen,126664,6091
getpid_exit,578,419
openumask,768276,3577
brkwritev,5660,2424
gettimeofdayaccess,684742,6225
openwrite,82452,5234
accessbrk,13806,2534
sendtomprotect,17849,5495
dupgetpid,230519,7415
epoll_ctlsched_setscheduler,4511,3059
set_thread_areamadvise,411138,7393
munmapmadvise,723268,6130
ioctl_exit,2261,1072
recvfrombrk,39536,6442
recvfromsched_setscheduler,13821,4974
connectclock_gettime,35712,4550
clock_gettimeread,23705214,6420
clock_gettimesigprocmask,343919,7727
_exitread,3942,1693
clock_gettimegetpriority,26895,6751
writevsendto,165486,7370
clock_gettimerecvfrom,17414582,7783
munmapmunmap,591539,7719
pollgettimeofday,14317,1428
munmaprecvfrom,5382,1685
futexgettid,309204,6757
recvfromsendto,1844146,7232
sched_setschedulerclock_gettime,79985,7569
epoll_ctlclose,327996,6887
getprioritymunmap,1179,843
clock_gettimewritev,2261381,8060
getprioritydup,10187,6041
dupclock_gettime,21892,6867
clock_gettimeepoll_ctl,160022,7086
getpidclock_gettime,905374,7746
writevclock_gettime,1466182,7907
lseekread,770133,5720
recvfromioctl,5082229,7765
getsockoptgetsockname,38993,3693
readfutex,10525962,6825
clonefutex,320606,7570
gettimeofdayclose,91623,4737
futexsendto,91233,7189
gettimeofdaypoll,58659,3909
munmapclock_gettime,474325,7854
getpriorityrecvfrom,3907,2658
futexrecvfrom,416449,7368
connectgettimeofday,46633,4577
writesched_yield,1209,1054
openmadvise,250094,7409
futexioctl,780754,8117
clock_gettimesched_yield,315602,5203
epoll_ctlrecvfrom,10584,1403
sigprocmaskrecvfrom,18523,5260
gettimeofdayclock_gettime,36230379,7205
prctlgettid,296474,7415
closeioctl,177491,7392
gettidfutex,492426,7437
sched_setschedulerrecvfrom,8956,4198
clock_gettimefutex,38194268,8146
mprotectdup,11332,7382
writerecvfrom,269355,6958
umaskread,9647,716
clock_gettimedup,143818,4603
epoll_waitclock_gettime,67333885,8075
epoll_waitmunmap,113320,4385
closebrk,30718,6768
closemunmap,268552,7691
sigprocmaskgettimeofday,58228,5008
ioctlmprotect,310038,7993
readrecvfrom,2020031,7507
ioctlgettimeofday,1217870,7059
_exitwritev,7888,1667
prctlclock_gettime,34447,4532
closeepoll_ctl,408872,7721
readclock_gettime,15602831,7941
pollbrk,207,187
sched_setschedulerclose,16912,5720
mprotectopen,178800,7840
sched_setschedulerread,29647,6424
openopen,549230,7770
sched_yieldnanosleep,38170,6636
sigprocmasksigprocmask,3631302,7981
openbrk,22707,5065
clock_gettimeconnect,24850,3673
writegetpid,95584,6720
futexmprotect,1548530,8027
writefutex,378940,7349
futexbrk,106591,7355
sendtogetpid,45071,3966
mprotectwritev,263532,7765
clock_gettimegettimeofday,35931732,7913
futexmadvise,540667,8041
brkclock_gettime,315122,7712
sched_setschedulerepoll_ctl,7580,3991
futexclose,135908,6818
munmapclose,1120907,7562
prctlrecvfrom,1469,970
access{msg_name,4,4
umaskgetsockname,310,229
_llseekioctl,6589,804
sin6_port=htonsclock_gettime,15183,2578
epoll_createepoll_ctl,15158,4422
prctlbrk,66355,4321
madvise_llseek,4919,1078
getpidsigprocmask,9641,3518
munmapwrite,8373,1941
clock_gettimeaccess,173211,6134
prctlopen,3399,2085
accessmunmap,32856,5317
selectmprotect,3419,1148
gettimeofday_exit,1305,724
open_llseek,50971,3214
getpiddup,5104,3727
gettimeofdaysetpriority,27945,4195
socketfutex,14036,3117
sendtobrk,1431,1057
accessmkdir,24340,5434
mprotectgetrlimit,7117,1961
gettimeofdayinet_addr,1426,556
epoll_waitgetsockname,7194,1877
writevaccess,32717,4511
getpidread,43927,4565
accessepoll_wait,12241,1896
readsocketpair,4203,3783
nanosleepmprotect,5947,2745
readfdatasync,38086,4617
sigaltstackioctl,3448,1827
getpidsetpriority,1817,762
openinet_addr,566,323
gettimeofdaywrite,302748,4773
gettimeofdaylseek,2432,840
accessopen,308007,6680
clock_gettimesetpriority,21770,2788
getsockoptioctl,5686,1692
_llseek_llseek,19633,2042
getpidsendmsg,4628,3837
sin_port=htonsfutex,145,133
\207Â°J\17Â¼y\237z\207Z\220gÃ3ÂºAÃ¢Ã£!zWÃrfutex,1,1
selectgetpid,920,441
sendmsgmprotect,134,125
accessmadvise,21071,4649
socketclose,2364,929
getsocknameclock_gettime,71142,4185
gettimeofdaysin_port=htons,205,159
setpgidexecve,1686,1639
mprotectunlink,2627,1790
fdatasyncread,3812,804
nanosleepioctl,6197,2115
clock_gettimeunlink,18242,2027
clock_gettimelseek,42541,2761
socketpairfutex,519,511
setsockoptwrite,6779,1416
dupsocketpair,3825,3811
epoll_waitopen,404690,5205
epoll_ctlgettimeofday,172216,3813
selectclose,1216,571
gettimeofdaygettid,499567,5316
writevclose,15847,4139
writevread,22207,1913
epoll_waitconnect,1601,915
gettidioctl,14215,3763
futexfdatasync,14328,1956
ioctl_llseek,12478,1026
writesigprocmask,37727,3340
opengettid,36543,3450
futex_llseek,30752,1903
futexconnect,8652,2863
futex_exit,28780,3584
sigprocmasksched_setscheduler,3987,2568
bindlisten,3689,3601
epoll_waitgetpid,145388,4542
accessgettid,4230,2741
getsocknamemadvise,1927,601
munmapexit_group,8237,2073
mkdiropen,27708,4085
epoll_waitgettimeofday,4829419,5710
sigaltstacksigaction,7560,1970
ftruncatefutex,5273,1399
getpidaccess,13231,2315
writewrite,5783740,5438
setsockoptread,5764,1506
mkdirmkdir,8312,1310
exit_groupsched_setscheduler,249,104
mprotectgettid,13238,4580
readlinkgetpid,3746,3746
closelseek,108913,4531
closegetsockopt,38353,2725
_exitmadvise,12782,2964
inet_addrread,1733,650
gettimeofdayfdatasync,24090,3372
readmunmap,37141,3573
chmodioctl,5781,3662
mprotectsched_setscheduler,14182,5448
readconnect,1322,732
closeepoll_wait,23302,3504
gettidaccess,4777,3123
readbrk,55931,5464
nanosleepread,2203,831
getpidreadlink,3734,3733
epoll_ctlopen,735,487
epoll_waitset_thread_area,7359,3374
_llseekbrk,4948,2069
futexsocket,28089,4717
selectsigaltstack,24,22
_exitmunmap,8079,2289
sched_yieldclock_gettime,254201,1735
dupioctl,4123,1640
recvfromsocket,1940,1099
accessunlink,39604,5553
readopen,43981,4948
gettidread,24978,2817
futexinet_addr,3838,1090
clock_gettimesendmsg,9912,3836
clock_gettimeclone,6571,3076
_llseekmadvise,27151,2345
futexftruncate,5837,1414
getsockoptgetsockopt,31267,2550
getsockoptfutex,26359,3560
brkfdatasync,4139,2019
openst_rdev=makedev,343,238
writevlseek,2457,1840
readrecvmsg,161270,3896
read_llseek,539876,3391
mprotectst_rdev=makedev,884,521
brkgetpid,9719,4039
futexpoll,5701,1420
setpriorityprctl,131,125
openset_thread_area,1869,1476
read\207Â°J\17Â¼y\237z\207Z\220gÃ3ÂºAÃ¢Ã£!zWÃr,1,1
fdatasyncclose,295004,5284
getsockoptopen,1763,767
pollfutex,10063,2370
selectfutex,10771,1582
[{WIFEXITEDwritev,1832,1603
recvmsgclock_gettime,159363,3919
ftruncategettimeofday,477420,2639
madviseaccess,11256,2115
socketepoll_wait,2632,1306
clock_gettimeselect,7144,977
readwritev,23265,2389
unlinkumask,4671,2902
closeinet_addr,1507,501
lseekgetpid,679,356
inet_addrsigprocmask,893,530
sched_setschedulersetpriority,45306,4008
selectread,38328,1094
pollgetpid,1349,617
ftruncateftruncate,273210,2632
clock_gettimeprctl,8077,2734
gettidconnect,148,112
fdatasyncepoll_wait,4035,926
ioctlsetpriority,9865,2034
clock_gettimegettid,563873,5960
closechmod,78886,5771
epoll_ctlinet_addr,36,34
bindclock_gettime,14361,2585
socketgetpid,1430,866
futexgetpriority,14343,4178
opensocket,1573,988
opengetsockname,1288,725
gettidmunmap,68909,3646
sigprocmaskinet_addr,1382,628
mprotectgetsockopt,16198,3705
prctlclose,832,610
gettidlseek,1033,780
selectclock_gettime,18128,1803
epoll_waitbind,1182,670
socketsigprocmask,2648,1455
sigactionmadvise,8063,2030
madviseepoll_wait,14752,3481
mkdirclock_gettime,5678,2369
openpoll,4592,4058
futexepoll_ctl,9113,3878
recvfromread,35743,3742
inet_addrclose,1906,555
futexbind,5591,1984
clock_gettimefdatasync,26081,1746
sendmsgwrite,4105,818
writevwritev,5479897,6895
execvemprotect,5788,1061
setprioritygetpid,1979,1009
flockclose,2210,1824
getpidsin6_port=htons,663,402
futexst_rdev=makedev,2359,938
writesetsockopt,4307,1048
connectgetpid,2423,949
openfdatasync,158241,5695
sched_setschedulerbrk,2490,1973
prctlgettimeofday,82824,3896
accessclock_gettime,128710,5645
opensigprocmask,15665,3590
setsockoptbrk,1090,739
epoll_waitfdatasync,4998,1060
readsched_yield,13358,4515
inet_addrmadvise,443,259
getsockoptpipe,18726,2197
madvisegetpid,25251,3923
writesocket,2086,803
gettimeofdaysetsockopt,8393,1861
readgetsockopt,19867,2487
readsigprocmask,94973,4327
futexclone,5931,2708
sendmsgclock_gettime,6351,3901
sigaltstackfutex,7074,2695
_exitclose,3283,1664
lseekfutex,10189,1403
brkrecvfrom,14020,5254
recvfromgetsockopt,23687,2845
gettidgetpriority,11585,4084
select_llseek,132,80
setprioritymprotect,7390,2646
recvfromwrite,321926,3957
sigaltstackgettimeofday,2803,1518
clock_gettimegetsockname,29418,3904
inet_addrgetsockopt,2193,744
setsockoptepoll_wait,4174,1548
gettidgettid,643026,4767
closegettid,108856,3874
getpidwrite,68350,4280
pollsigprocmask,2004,1132
setpriorityclock_gettime,53014,4500
gettidmprotect,10099,3689
prctlfutex,35749,4459
writeopen,20506,4367
getprioritywrite,2564,1490
pipegettimeofday,19963,2252
getsocknameconnect,39863,3784
inet_addrrecvfrom,827,447
gettimeofdayftruncate,2000,1181
sin6_port=htonsfutex,8174,2067
epoll_waitaccess,47452,3732
sin_port=htonsclock_gettime,1586,894
accesswritev,18966,3695
clock_gettimeinet_addr,10721,1522
lseekepoll_wait,1523,632
inet_addrclock_gettime,10957,1729
lseekclock_gettime,16687,2705
cloneset_thread_area,1699,1167
gettimeofdaygetsockopt,22142,2866
epoll_waitclose,39694,4676
fdatasyncrecvfrom,4233,836
epoll_ctlgetsockname,57831,3423
unlinkopen,13452,4560
sin6_port=htonsepoll_ctl,44,42
gettimeofdaygetpriority,4091,1642
getsockoptsetsockopt,54106,3713
madvisewrite,94597,6265
munmapgetsockopt,2412,878
writewritev,85747,5260
pollioctl,2741,1307
clonesched_setscheduler,4978,4754
pollread,6201,4404
connectclose,220958,3842
sin6_port=htonsread,1597,689
gettimeofdaysched_setscheduler,14137,3421
futexepoll_wait,522263,7335
epoll_waitsocket,2848,1355
openlseek,159415,4450
sigprocmaskepoll_wait,9453,3421
ftruncateepoll_wait,2698,1184
cloneclock_gettime,6176,2930
bindread,1009,518
_llseekfutex,17430,1289
futexsetsockopt,71477,4450
fchmodflock,2077,1720
gettimeofdayepoll_wait,444726,4861
readwrite,542948,4835
writefdatasync,106044,4647
gettidsched_yield,112,99
madvisegetsockname,1528,828
sigprocmask_llseek,4951,713
recvfromgettimeofday,387065,5140
gettidrecvfrom,8943,2989
setsockoptgettimeofday,35825,3313
openepoll_wait,22521,3089
gettidsetpriority,121999,4594
writebrk,16363,4396
setsockoptmunmap,2008,722
prctlmadvise,161199,4892
madvisesigprocmask,72639,4631
writevepoll_ctl,1486,1061
clonegetpid,587,454
readepoll_ctl,329296,3585
fdatasyncgetpid,2352,791
fsyncclose,72680,5657
getpidsocket,1438,857
recvfrommadvise,39246,4712
recvmsgfutex,4749,1020
set_thread_areagettimeofday,8618,3819
socketpairclock_gettime,8905,3915
futexsin6_port=htons,6288,1816
socketopen,1057,606
writevsetpriority,3304,627
mprotect_llseek,26201,1814
sin6_port=htonsdup,30,29
lseeklseek,168825,2098
prctlioctl,25768,1459
pipeclock_gettime,2880,680
msyncmunmap,1608,1555
getsockoptread,36765,2380
setsockoptmadvise,41895,3030
connectread,2507,1139
bindfutex,3664,1507
gettidepoll_wait,10558,2495
readgettid,8833,2661
getsockoptmunmap,1239,644
fdatasyncgettimeofday,9022,3044
readgettimeofday,432134,5164
getpidgetpid,108565,6118
madviserecvfrom,25958,3837
sigprocmaskgetsockopt,4683,1754
lseekbrk,3420,1926
madviseopen,26457,3912
sendtosigprocmask,3550,2018
sched_setschedulergettimeofday,11302,2767
st_rdev=makedevsendmsg,2011,1076
gettidset_thread_area,8123,2218
clock_gettimerename,5868,2477
gettimeofdaysched_yield,13174,1218
socketpairpipe,18183,4410
readst_rdev=makedev,1038,452
getprioritygettimeofday,4223,1786
sched_setschedulerwritev,5891,1654
gettidwritev,11964,1459
mkdirsetpgid,1685,1638
madvisesched_setscheduler,5896,2625
flockwrite,1957,1687
closemadvise,42735,4855
epoll_waitgetsockopt,7945,2341
fdatasyncfutex,15211,3055
writelseek,435978,4560
writevfork,2176,1794
unlinkclock_gettime,25146,2895
sigaltstackepoll_wait,1129,803
gettimeofdaymkdir,1760,802
clock_gettime_llseek,20427,1188
mprotectwrite,111818,5422
openchmod,9983,2025
chmodwrite,5685,1757
socketconnect,215718,3547
brkepoll_ctl,5176,3315
unamegettimeofday,472,470
getrlimitgettid,7616,2024
selectioctl,4443,871
madviseioctl,153681,5764
lseekepoll_ctl,86,76
epoll_ctlgettid,28027,4592
dupgettimeofday,3005,1585
epoll_waitinet_addr,1267,683
selectgettimeofday,9012,1702
socketread,3197,1164
getpidset_thread_area,1775,1273
epoll_waitsetsockopt,4895,1704
getsockoptclock_gettime,41723,3483
readsetsockopt,5836,1487
_exitmprotect,11404,4160
gettidclock_gettime,997940,5894
munmaplseek,2080,1766
epoll_waitsched_yield,541,99
sched_setschedulergetpid,19118,6210
setsockoptsigprocmask,4231,1736
selectlseek,70,35
futexpipe,5137,1599
setsockoptmprotect,22892,4582
readset_thread_area,3391,2008
getpidepoll_ctl,552,427
recvfromset_thread_area,1300,912
bindepoll_wait,968,567
poll_llseek,112,77
writeclose,147844,5586
socketwrite,2537,973
inet_addrgettimeofday,1732,672
readgetsockname,3006,1130
writegetpriority,1930,1133
clock_gettimesin6_port=htons,12781,2550
futexsigaltstack,14131,4553
clock_gettimebind,14631,2616
{msg_nameclock_gettime,2872,1292
sigprocmaskread,57348,3517
writemadvise,21219,3415
set_thread_areaclock_gettime,2687,1474
epoll_ctlwrite,2123,677
clonegettimeofday,98313,4754
writegetsockopt,25346,2897
lseekwrite,559768,4561
sin6_port=htonssetsockopt,20238,3066
gettimeofdayumask,21667,3171
closeread,39476,3285
getsocknameread,1431,653
clock_gettimerecvmsg,6692,3730
getsockoptmprotect,10749,2600
clonemadvise,3761,1354
gettidsched_setscheduler,59950,4387
gettimeofdayepoll_ctl,4531,1792
getpidbrk,8871,3851
munmapwritev,21644,3740
epoll_waitftruncate,2714,1299
epoll_waitdup,6612,2372
mprotectprctl,3481,2396
mprotectset_thread_area,4666,2858
munmapsetsockopt,1236,608
sigaltstackgettid,118272,4614
writevsched_setscheduler,7346,1951
readsin6_port=htons,1368,622
connectepoll_ctl,58634,3442
getpidprctl,496,407
_exitgettid,1479,537
getprioritysetpriority,11686,4069
socketmprotect,7061,2378
fdatasyncopen,155973,5660
brkgettid,16486,3983
openmunmap,34431,2666
writevgettid,17609,2686
madvisegetsockopt,19262,3092
connectgettid,227,172
restart_syscallmprotect,590,567
setsockoptgetsockopt,7364,1359
setsockoptfutex,28950,3565
brkaccess,9142,4141
madviseepoll_ctl,510,439
dupread,1156,627
readaccess,98086,4397
unlinkbrk,2329,1695
opengetsockopt,3553,1095
inet_addrfutex,4725,1300
futexlseek,15706,2308
chmodmprotect,6917,2908
sendmsgclose,158041,3900
setprioritygetrlimit,2463,2462
epoll_ctlfutex,15801,4732
sched_yieldbrk,97,88
chmodopen,6498,4655
readepoll_wait,930080,4476
setprioritybrk,523,464
connectsigprocmask,2813,1550
ioctllseek,2180,669
renameclock_gettime,12246,3945
inet_addropen,1104,419
sendtoioctl,16579,4106
epoll_waitepoll_wait,148825,4307
gettidopen,18597,4837
mprotectgetpriority,4099,2715
gettimeofdaydup,2533,1258
mkdirchmod,11839,5854
pollepoll_ctl,50,46
unlinkaccess,32098,4956
restart_syscall[{WIFEXITED,481,476
fsynclseek,1764,1627
writegettid,41822,4403
futexprctl,11944,3291
prctlwrite,3099,972
closefdatasync,125601,3445
mkdirmadvise,856,427
fdatasynclseek,68148,4512
epoll_waitsendto,24365,3518
setprioritygettid,140180,5380
writevgettimeofday,350177,5112
lseekmadvise,29383,2195
brk_llseek,5293,2136
readsocket,4165,1238
sin6_port=htonsgettimeofday,3434,1240
getsocknamefutex,11786,2731
openmkdir,10855,3828
futexgetsockname,17773,3289
getprioritysigprocmask,1239,1036
closegetsockname,1644,832
selectopen,672,390
socketgettimeofday,7952,2424
setpriorityioctl,12768,2496
sendtoread,9099,2151
pollepoll_wait,1770,836
munmapsigaltstack,197561,6775
closeflock,2149,1784
st_rdev=makedevopen,6512,1060
openwritev,13067,3280
setsockoptclose,2503,1018
lseekgettimeofday,2390,832
setsockoptsocket,4512,1250
writegettimeofday,214313,4939
ioctlinet_addr,30070,2008
ioctlclone,3383,1644
gettidgetrlimit,3276,3242
gettimeofdayuname,568,560
getsockopt_llseek,182,122
setsockoptsetsockopt,308522,5572
ioctlfsync,83274,5770
getsockoptepoll_ctl,59234,3438
unlinkunlink,57504,2309
epoll_waitbrk,40937,4750
connectepoll_wait,2441,1266
getpidclone,766,607
gettidsendto,2612,1447
ioctlsocket,4524,1698
getpidgettimeofday,395219,5563
fdatasyncmprotect,5591,1858
dupsendmsg,151917,3516
brklseek,9286,3304
sigactionsigaction,75465,2116
gettidpipe,13143,4229
clock_gettimeftruncate,488166,2690
openclock_gettime,184207,5630
unlinkepoll_ctl,41,32
getsockoptrecvfrom,3303,1368
munmapsendto,3234,1368
lseekioctl,1966,587
gettidwrite,81690,1988
writeepoll_wait,75120,4276
madvisesin6_port=htons,800,556
mprotectaccess,50644,5935
ioctlset_thread_area,7333,2865
brkread,46852,4878
recvmsg{msg_name,821,608
brksetpriority,181,163
gettimeofdaysocket,9961,3412
clock_gettimeepoll_create,18287,4449
sched_setschedulermprotect,12257,4767
connectfutex,13400,3123
readsigaltstack,1599,884
ftruncaterecvfrom,48,41
openfutex,83853,5291
readselect,78322,2346
readsendto,10292,2390
brkwrite,13224,4189
getpidgettid,35665,2810
gettimeofdaygetsockname,4567,1642
clock_gettimeopen,392842,6387
_exitset_thread_area,6929,2292
recvmsgclose,3561,3508
madvisegettid,31332,5071
brkgetsockopt,1057,743
inet_addrioctl,26507,2150
writegetsockname,1997,892
fdatasyncfdatasync,241527,3423
gettidgettimeofday,293088,4798
gettimeofdayst_rdev=makedev,1457,561
setprioritywritev,6009,889
prctlmunmap,789812,4309
chmodaccess,3163,2012
ioctlprctl,1166,833
openfchmod,2068,1713
pipeepoll_create,15043,4412
dupsetsockopt,110,98
futexsetpriority,40436,4625
inet_addrwrite,1305,499
pipeepoll_ctl,18311,4429
